,rewards
0,-5509662.159986509
1,-1288325.976853284
2,-448734.60057887627
3,-983340.8820237168
4,-518607.0596920748
5,-6333968.684631773
6,-1352344.899760441
7,-3630810.128568283
8,-1602633.708305514
9,-1298736.04281684
10,-46001.815158662816
11,-1493110.2826132309
12,-11009713.77553342
13,-2296390.627754118
14,-1724877.1451089578
15,-612383.1795949469
16,-1024325.3643321777
17,-471049.62106599816
18,-518323.6143645774
19,-7211453.273124867
20,33443.766256845105
21,-4533778.135502088
22,-1811794.0982582436
23,-510651.8465559849
24,-3947796.015058814
25,-31819.86046136895
26,-3696820.1841063667
27,-894415.5355632375
28,-1398979.6309456183
29,-1672537.2586025277
30,-502383.2677499106
31,-2865.7322348849393
32,-1662159.5856963315
33,-13940304.041602425
34,-5871190.9370283745
35,-5717096.001816157
36,-358702.42812876904
37,-1322662.5027887141
38,-2114320.8421680904
39,-7708600.217236691
40,-5712991.887663928
41,-1709903.8283849375
42,-424545.0952603525
43,-1108973.7950060149
44,45471.72982997261
45,-1058931.0850150068
46,-1107133.8631998217
47,-833233.9756756906
48,-7028567.692497164
49,-1614793.9042931944
50,-3756420.8520703553
51,-2411943.0259616347
52,-846541.1352508762
53,-518508.8329404502
54,-2167056.5299901236
55,-2623429.0682859113
56,-1294780.0380214094
57,-512091.3542919677
58,-52765.109138672524
59,-7602.713304831372
60,-6573995.560145845
61,-372556.4318443686
62,-209410.6065021486
63,-79501.79135167823
64,-385607.8318711299
65,-2317179.644672487
66,-1302728.1102904473
67,-224704.18231360396
68,-936075.6405009669
69,-7231274.796034608
70,-482551.67814047524
71,-851127.4378838633
72,-5703818.112760948
73,-830950.2498697581
74,-1445732.6183584495
75,-2306009.1564020547
76,-325838.3030481805
77,-743643.1740624194
78,-507050.86455910193
79,-36012.87549337478
80,-12254.34084024834
81,-157470.44857359622
82,-5677988.2274628645
83,-74797.24297799275
84,-409292.01770428783
85,-1696582.6452504448
86,-5076592.524951172
87,-1194668.8872440434
88,-1475385.9293094932
89,-1723455.1058670098
90,-305648.16259470244
91,-1451222.8411706048
92,-916145.8287320333
93,-1508544.2257489772
94,-871451.7870394941
95,-593417.5961585464
96,-93169.34815291908
97,-4374531.558599471
98,-101122.11892938528
99,-8415551.2431682
100,-361074.9432426122
101,-2308562.515653306
102,-493696.0339738188
103,-1625622.377040831
104,-12557.158743969325
105,-1175318.4928554744
106,-1712588.2196591117
107,-6408952.318315898
108,-8503.898475401336
109,-640961.9212210233
110,-13890.306449859527
111,-612533.8762782778
112,-802.4534731526328
113,-739475.5067603958
114,-2574301.6061306493
115,-481226.12246479443
116,-719128.2368593864
117,-347422.96286363254
118,-1859596.4313933216
119,-2961649.2845954415
120,-1764168.6324999398
121,-6411933.000381175
122,-3073024.5839890116
123,-146534.71932690532
124,-6398151.574589082
125,-518438.6207107522
126,-10965104.677071227
127,-1736527.7521054058
128,-311433.4593855848
129,-770758.2590745421
130,-105353.32585814656
131,-4057092.7400293364
132,-6367413.014002856
133,-1060040.4858481786
134,-10554020.776661215
135,-3401057.0762303285
136,-2096581.6985756722
137,-4043391.1547906077
138,-7451785.212570809
139,-1086800.9795349345
140,-1520785.0320699995
141,-370795.0211134082
142,-2621913.724091565
143,-509597.5136740735
144,-1269316.5467833842
145,-299788.01303118595
146,-6270385.567910174
147,-1341951.8334668588
148,-23040.22342962916
149,-7231380.7317684395
150,-1788328.9006536745
151,-5710260.421587886
152,-234548.1564680645
153,-5682923.842467934
154,-7404840.501308052
155,-518507.37701033865
156,-825649.235046026
157,-487924.1925121785
158,-740408.6157323956
159,-1232188.0487212776
160,-1602076.1148041845
