,rewards
0,-89.1152661565495
1,-57.9549958206874
2,-64.1965239263652
3,-3.3492573659202702
4,-86.41487533621273
5,-3.632500004330376
6,-99.19082814027202
7,-6.696120447570701
8,-123.7891682131364
9,-102.98669457903875
10,-66.2543638109708
11,-135.7961417677376
12,-3.04674299690313
13,-95.84621062556906
14,-70.90218621906071
15,-57.23901832123703
16,-49.52819104286202
17,-137.76525150238197
18,-67.09170034985173
19,-69.52869798286547
20,-133.40974875719974
21,-54.50146879536216
22,-56.35213459507429
23,-152.11577838366864
24,-46.8052150158925
25,-161.8545939963057
26,-91.11375509874432
27,-4.011964614137204
28,-118.95144881592604
29,-30.313490705593026
30,-38.13000920565861
31,-2.0141839807184656
32,-5.13411368253236
33,-91.79710457471704
34,-37.0371968905287
35,-83.8202636606013
36,-78.05704160686125
37,-45.52124326578991
38,-3.5040855750147544
39,-88.31085109540618
40,-6.990582593640282
41,-92.69846577448024
42,-45.99070311011916
43,-2.8860635909441026
44,-116.024805535182
45,-60.1377465078888
46,-73.93182884305756
47,-79.08199496794418
48,-4.947958744971752
49,-3.5768652855069085
50,-52.68796450797011
51,-71.93128703219516
52,-59.48621613537214
53,-60.14738949470465
54,-27.57629072169689
55,-71.11938204648392
56,-90.8046179214038
57,-61.96972140037193
58,-5.144996349564746
59,-3.9349075126588
60,-41.25559337480606
61,-74.1274410588854
62,-47.50875997956221
63,-2.942958326087971
64,-108.332500683959
65,-93.68454161273309
66,-49.42137474924815
67,-2.0156428182666604
68,-172.13094100148132
69,-53.06726355149674
70,-68.51921083303553
71,-6.279833947150895
72,-3.769648215108148
73,-68.6912877795809
74,-54.40206594725717
75,-6.33414072776829
76,-83.71933810125938
77,-84.52077895763672
78,-39.48058677936351
79,-4.6544190901628015
80,-53.35219082080913
81,-3.544623851404868
82,-179.21320828585877
83,-3.317967907154895
84,-51.11245981748278
85,-76.67486013290046
86,-68.02362510469348
87,-144.59285214230766
88,-51.26228416888336
89,-112.6015296481335
90,-147.79841455344274
91,-3.4129516603654317
92,-74.89689174907511
93,-3.753510037778196
94,-4.849075102654993
95,-103.7915983349306
96,-4.4192572084998165
97,-2.0701694451444608
98,-75.17492097697857
99,-4.862352048913964
100,-51.93511493238851
101,-57.65341557616006
102,-60.9814443002543
103,-5.144249141496893
104,-89.81423796131865
105,-2.0115492625608034
106,-58.4337853973973
107,-47.720974551238086
108,-78.8734266959759
109,-2.0113723708135836
110,-49.519830353376754
111,-5.805987570271956
112,-125.95018006214994
113,-86.77018291391798
114,-78.27019632084115
115,-84.01052557427602
116,-66.80810129247521
117,-68.78081243875653
118,-52.95762071482914
119,-53.041025108945064
120,-3.1522449653787055
121,-49.46508820507262
122,-166.7686996901662
123,-61.774334759997245
124,-4.0281223257767955
125,-116.17936412928844
126,-3.2886365100818775
127,-62.21248812130121
128,-3.1276143800800735
129,-47.64793028294666
130,-146.14815714516203
131,-53.358533159859206
132,-39.36369785200747
133,-50.67075867913524
134,-3.961065214445661
135,-3.131643404672911
136,-6.999596370458374
137,-3.6464236306085125
138,-91.76305635865099
139,-58.396816511920235
140,-2.658132462890854
141,-87.2158066535361
142,-6.999999947515506
143,-124.74804814313013
144,-112.10376551913713
145,-64.64685953621276
146,-172.27732432857795
147,-2.011461325225074
148,-88.33553173212616
149,-3.0116061391090074
150,-39.291030546462174
151,-90.75142800536479
152,-127.09550526312005
153,-53.70298121654519
154,-58.46623513068637
155,-223.86082141477502
