,rewards
0,-415.7292583503055
1,-422.0154137470182
2,-106.89492289970633
3,-1818.4889003785358
4,-1819.6902306443912
5,-106.79736097140085
6,-106.93929037013908
7,-1818.8507375452741
8,-39879.056702160764
9,-976.505986910993
10,-1818.694381351547
11,-1819.2015468726356
12,-43683.82581171355
13,-976.1428981937227
14,-1820.4182353609506
15,-410.05542247876997
16,-975.7970272540072
17,-47646.78426905105
18,-979.354787605662
19,-976.0206756536073
20,-46057.91838998437
21,-33759.00036266068
22,-106.83904349079997
23,-976.3808306013411
24,-419.97252701699733
25,-106.98442827804195
26,-1821.866689887114
27,-107.02486860751287
28,-420.61763634461795
29,-975.5920891677282
30,-976.1617111175332
31,-107.03657557539198
32,-423.1330371620288
33,-20658.536788359186
34,-41574.400895800834
