一回路压力平均值,一环路冷热段平均值,堆芯出口温度平均值,主蒸汽压力平均值,辅助给水流量平均值,重要厂用水系统压力,DeltaTsat平均值,安全壳压力平均值,SG1水位平均值,稳压器泄压箱压力,压缩空气系统压力,汽机旁路系统蒸汽阀平均开度
15.3984,309.8165,333.44,6.6700175,0.0,0.0120312,11.1598,100.981,-6.560000000000001e-05,0.0157473,0.815373,0.0
15.3985,309.8165,333.44,6.6700349999999995,0.0,0.0120312,11.16,100.981,-6.245e-05,0.0157502,0.815386,0.0
15.3985,309.817,333.4405,6.6700475,0.0,0.0120312,11.1601,100.981,-5.855e-05,0.0157505,0.815398,0.0
15.3986,309.817,333.4395,6.6700675,0.0,0.0120312,11.1607,100.981,-5.3950000000000004e-05,0.0157475,0.81541,0.0
15.3911,309.832,333.4395,6.6700975,0.0,0.0120312,11.0915,100.981,0.0006824159999999999,0.0157458,0.815422,0.0
15.3794,309.826,333.433,6.670164999999999,0.0,0.0120312,11.065249999999999,100.981,0.00181088,0.0157485,0.815434,0.0
15.3749,309.8295,333.429,6.6702525,0.0,0.0120312,11.037199999999999,100.981,0.003094055,0.0157509,0.815447,0.0
15.3691,309.83050000000003,333.4255,6.670355000000001,0.0,0.0120312,11.0043,100.981,0.004422465,0.0157499,0.815459,0.0
15.3622,309.8295,333.422,6.6704675,0.0,0.0120312,10.975950000000001,100.981,0.00575559,0.0157466,0.815471,0.0
15.3565,309.832,333.419,6.67059,0.0,0.0120312,10.950099999999999,100.981,0.007084930000000001,0.0157465,0.815483,0.0
15.3555,309.8365,333.419,6.6707149999999995,0.0,0.0120312,10.938099999999999,100.981,0.008327715,0.0157497,0.815496,0.0
15.3543,309.819,333.41999999999996,6.6708225,0.0,0.0120312,10.967400000000001,100.982,0.008670915,0.0157512,0.815508,0.0
15.36,309.826,333.422,6.670897500000001,0.0,0.0120312,10.98015,100.982,0.008754755,0.015749,0.81552,0.0
