汽机旁路系统蒸汽阀平均开度,稳压器喷淋阀平均开度,上充流量调节阀开度,电加热开启数量,一环路冷热段平均值,堆芯出口温度平均值,一回路压力平均值,ΔTsat平均值
0.0,0.0,100.0,0,259.563,259.457,6.29868,20.132
0.0,0.0,100.0,0,259.526,259.421,6.29649,20.1459
0.0,0.0,100.0,0,259.4895,259.38599999999997,6.29461,20.161
0.0,0.0,100.0,0,259.452,259.351,6.29247,20.1743
0.0,0.0,100.0,0,259.416,259.31600000000003,6.29074,20.1917
0.0,0.0,100.0,0,259.3795,259.28200000000004,6.28914,20.2095
0.0,0.0,100.0,0,259.3425,259.249,6.28759,20.2267
0.0,0.0,100.0,0,259.305,259.216,6.28625,20.247
0.0,0.0,100.0,0,259.269,259.18399999999997,6.28546,20.2713
0.0,0.0,100.0,0,259.233,259.153,6.28515,20.3005
0.0,0.0,100.0,0,259.1975,259.12300000000005,6.28544,20.3325
0.0,0.0,100.0,0,259.163,259.094,6.2854,20.3621
0.0,0.0,100.0,0,259.13,259.065,6.28522,20.3902
0.0,0.0,100.0,0,259.097,259.038,6.28565,20.4219
0.0,0.0,100.0,0,259.065,259.01099999999997,6.28599,20.4519
0.0,0.0,100.0,0,259.033,258.986,6.28644,20.4827
0.0,0.0,100.0,0,259.002,258.961,6.28689,20.5112
0.0,0.0,100.0,0,258.972,258.937,6.28722,20.5388
0.0,0.0,100.0,0,258.9425,258.91499999999996,6.28779,20.5666
0.0,0.0,100.0,0,258.9135,258.89300000000003,6.28781,20.5871
0.0,0.0,100.0,0,258.8855,258.87300000000005,6.28757,20.6052
0.0,0.0,100.0,0,258.85850000000005,258.85400000000004,6.28763,20.626
9.316,0.0,100.0,0,258.8325,258.836,6.28847,20.6547
22.634333333333334,0.0,100.0,0,258.8075,258.82,6.28881,20.6715
33.299166666666665,0.0,100.0,0,258.7835,258.804,6.28865,20.6854
33.299166666666665,0.0,100.0,0,258.76,258.7895,6.28849,20.6984
66.63246666666667,0.0,100.0,0,258.73749999999995,258.77599999999995,6.28831,20.7101
66.63246666666667,0.0,100.0,0,258.7155,258.76300000000003,6.28808,20.7204
66.63246666666667,0.0,100.0,0,258.695,258.751,6.28781,20.7294
66.63246666666667,0.0,100.0,0,258.67499999999995,258.74,6.28751,20.7375
66.63246666666667,0.0,100.0,0,258.65599999999995,258.72900000000004,6.28721,20.7449
66.63246666666667,0.0,100.0,0,258.637,258.719,6.28688,20.7516
66.63246666666667,0.0,100.0,0,258.619,258.70950000000005,6.2865,20.7557
66.63246666666667,0.0,100.0,0,258.602,258.70000000000005,6.28597,20.7614
66.63246666666667,0.0,100.0,0,258.5845,258.69,6.28551,20.7665
66.63246666666667,0.0,100.0,0,258.568,258.68,6.285,20.7713
66.50019999999999,0.0,100.0,0,258.55150000000003,258.669,6.28442,20.7762
63.641,0.0,100.0,0,258.53499999999997,258.656,6.28378,20.7816
61.951966666666664,0.0,100.0,0,258.51800000000003,258.642,6.28307,20.7885
61.0769,0.0,100.0,0,258.501,258.626,6.28238,20.798
60.832699999999996,0.0,100.0,0,258.48249999999996,258.606,6.28175,20.8111
60.99549999999999,0.0,100.0,0,258.4635,258.584,6.28107,20.8249
61.38216666666667,0.0,100.0,0,258.444,258.558,6.2802,20.8422
61.90106666666666,0.0,100.0,0,258.423,258.529,6.27926,20.8619
62.47089999999999,0.0,100.0,0,258.40049999999997,258.49699999999996,6.27833,20.8845
63.030499999999996,0.0,100.0,0,258.37649999999996,258.462,6.27745,20.9099
63.54943333333333,0.0,100.0,0,258.3505,258.42499999999995,6.27661,20.9381
64.0073,0.0,100.0,0,258.323,258.387,6.27526,20.9633
64.40413333333333,0.0,100.0,0,258.29499999999996,258.34799999999996,6.27497,20.9961
64.71956666666667,0.0,100.0,0,258.2655,258.308,6.27429,21.0294
64.9841,0.0,100.0,0,258.2345,258.269,6.27338,21.0611
65.17743333333333,0.0,100.0,0,258.203,258.22900000000004,6.27245,21.0915
65.31986666666667,0.0,100.0,0,258.17150000000004,258.19,6.27158,21.1216
65.41146666666667,0.0,100.0,0,258.139,258.15099999999995,6.27075,21.1518
65.4725,0.0,100.0,0,258.1055,258.11199999999997,6.26992,21.1822
65.48270000000001,0.0,100.0,0,258.072,258.073,6.269,21.2116
65.45216666666666,0.0,100.0,0,258.038,258.034,6.26811,21.2417
65.40129999999999,0.0,100.0,0,258.0025,257.994,6.26724,21.2715
65.3097,0.0,100.0,0,257.967,257.95500000000004,6.26631,21.302
65.18759999999999,0.0,100.0,0,257.9315,257.91499999999996,6.26539,21.3322
66.63246666666667,0.0,100.0,0,257.895,257.875,6.26449,21.3625
66.63246666666667,0.0,100.0,0,257.8585,257.83500000000004,6.26357,21.3926
66.63246666666667,0.0,100.0,0,257.822,257.796,6.26263,21.4226
66.63246666666667,0.0,100.0,0,257.78499999999997,257.756,6.26166,21.4525
66.63246666666667,0.0,100.0,0,257.7485,257.716,6.26071,21.4824
66.63246666666667,0.0,100.0,0,257.711,257.67600000000004,6.25977,21.5122
66.63246666666667,0.0,100.0,0,257.6735,257.637,6.25882,21.542
66.63246666666667,0.0,100.0,0,257.63649999999996,257.597,6.25784,21.5715
66.63246666666667,0.0,100.0,0,257.599,257.557,6.25684,21.6007
66.63246666666667,0.0,100.0,0,257.5615,257.51800000000003,6.25583,21.63
66.63246666666667,0.0,100.0,0,257.524,257.478,6.25484,21.6595
66.63246666666667,0.0,100.0,0,257.486,257.438,6.25322,21.6808
66.63246666666667,0.0,100.0,0,257.44849999999997,257.398,6.25183,21.7066
66.63246666666667,0.0,100.0,0,257.4135,257.358,6.25006,21.7274
66.63246666666667,0.0,100.0,0,257.38149999999996,257.318,6.24748,21.7383
66.63246666666667,0.0,100.0,0,257.347,257.27700000000004,6.24368,21.7375
66.63246666666667,0.0,100.0,0,257.3115,257.236,6.23934,21.733
66.63246666666667,0.0,100.0,0,257.275,257.1955,6.2349,21.7272
66.63246666666667,0.0,100.0,0,257.238,257.155,6.23032,21.7202
66.63246666666667,0.0,100.0,0,257.201,257.11400000000003,6.22572,21.7128
66.63246666666667,0.0,100.0,0,257.1645,257.07399999999996,6.22091,21.7022
66.63246666666667,0.0,100.0,0,257.127,257.033,6.21575,21.6883
66.63246666666667,0.0,100.0,0,257.087,256.98900000000003,6.21001,21.6725
66.63246666666667,0.0,100.0,0,257.051,256.9495,6.20487,21.6587
66.63246666666667,0.0,100.0,0,257.0145,256.90999999999997,6.19953,21.6416
66.63246666666667,0.0,100.0,0,256.978,256.87,6.19404,21.6241
66.63246666666667,0.0,100.0,0,256.9415,256.831,6.18843,21.6037
66.63246666666667,0.0,100.0,0,256.904,256.791,6.1825,21.5819
66.63246666666667,0.0,100.0,0,256.868,256.751,6.17665,21.5599
66.63246666666667,0.0,100.0,0,256.8315,256.711,6.17057,21.5354
66.63246666666667,0.0,100.0,0,256.7935,256.671,6.1641,21.5069
66.63246666666667,0.0,100.0,0,256.7555,256.631,6.15756,21.4788
66.63246666666667,0.0,100.0,0,256.7185,256.591,6.15134,21.4539
66.63246666666667,0.0,100.0,0,256.6815,256.55100000000004,6.1452,21.4291
66.63246666666667,0.0,100.0,0,256.644,256.51099999999997,6.13895,21.4029
66.63246666666667,0.0,100.0,0,256.606,256.4715,6.13249,21.374
66.63246666666667,0.0,100.0,0,256.567,256.432,6.12577,21.3432
66.63246666666667,0.0,100.0,0,256.5285,256.392,6.11935,21.3163
66.63246666666667,0.0,100.0,0,256.4915,256.352,6.11325,21.2919
66.63246666666667,0.0,100.0,0,256.4575,256.31600000000003,6.10778,21.2696
66.63246666666667,0.0,100.0,0,256.419,256.27700000000004,6.10158,21.2433
66.63246666666667,0.0,100.0,0,256.38,256.23699999999997,6.09506,21.2135
66.63246666666667,0.0,100.0,0,256.3405,256.197,6.08857,21.1854
66.63246666666667,0.0,100.0,0,256.3025,256.15700000000004,6.08255,21.1621
66.63246666666667,0.0,100.0,0,256.2495,256.102,6.07438,21.131
66.63246666666667,0.0,100.0,0,256.2105,256.062,6.06842,21.1068
66.63246666666667,0.0,100.0,0,256.1665,256.022,6.06148,21.0791
66.63246666666667,0.0,100.0,0,256.12699999999995,255.978,6.05529,21.0515
66.63246666666667,0.0,100.0,0,256.0885,255.9385,6.04962,21.0315
66.63246666666667,0.0,100.0,0,256.051,255.899,6.0441,21.0124
66.63246666666667,0.0,100.0,0,256.01149999999996,255.85899999999998,6.03846,20.9916
66.63246666666667,0.0,100.0,0,255.9715,255.81900000000002,6.03252,20.9673
