,rewards
0,-534353.7473472501
1,-509263.70499261207
2,-506289.85700868734
3,-468823.58137392066
4,-584752.3879567971
5,-480468.31919093797
6,-811668.4229095628
7,-795190.3528770016
8,-774771.0330540527
9,-741353.243871635
10,-824496.4617543111
11,-568889.7917934647
12,-545873.6752627674
13,-604002.3916182662
14,-629253.896592565
15,-548303.665611534
16,-741598.2146551812
17,-821836.4448633074
18,-536884.6887972623
19,-662148.0870894042
20,-506073.2455138813
21,-562561.7768680305
22,-490320.3826831395
23,-630781.2027803916
24,-467341.21120656433
25,-528298.5878701292
26,-625406.0829113354
27,-821769.4519933478
28,-533981.4213814414
29,-555915.1528783328
30,-555514.1152002908
31,-500529.8562557552
32,-789757.6367474477
33,-503571.36617416557
34,-465031.7085079807
35,-553373.9607657562
36,-577641.5621424924
37,-604765.3925261762
38,-563226.7210032535
39,-536415.278936632
40,-543865.3879763695
41,-562151.5059645983
42,-764699.5663598939
43,-498971.56515667145
44,-523538.8581528431
45,-832173.2661916387
46,-498790.49779885466
47,-552811.8250440853
48,-816542.6922867057
49,-518716.4760457123
50,-483212.3809827491
51,-100918.29633086124
52,-100913.3515997408
53,-100890.10785274293
54,-100968.33506539532
55,-100925.12605505787
56,-100869.18659005009
57,-100888.16614784094
58,-100866.79929222903
59,-100915.19608436953
60,-100919.3414487988
61,-100910.47549999031
62,-100900.14314539352
63,-100911.12363514573
64,-100913.1841648259
65,-100862.16512587017
66,-100920.6782275562
67,-100909.88137609848
68,-100916.70299860553
69,-100934.2026477919
70,-100878.20917152092
71,-100909.54110514167
72,-100947.92690970005
73,-100915.06375677507
74,-100950.01984613824
75,-100949.12595973702
76,-100899.4869085487
77,-100913.67566731841
78,-100918.2504212877
79,-100915.81721389295
80,-100884.3664554945
81,-100859.87504832227
82,-100887.10482652418
83,-100906.39224851332
84,-100915.76860375643
85,-100886.20823955961
86,-100886.9130865409
87,-100895.66291113442
88,-100934.2080489184
89,-100885.16852274832
90,-100892.52215619475
91,-100912.44961165002
92,-100847.0932829519
93,-100874.91448448264
94,-100913.21387102059
95,-100890.10245161636
96,-100950.28450132682
97,-100917.5563765593
98,-100881.47145180167
99,-100926.36831410458
100,-100897.97729375053
101,-100907.88295936993
102,-100891.3825185476
103,-100876.70225728558
104,-100906.76492622744
105,-100888.92500608451
106,-100917.68060246357
107,-100832.88291967733
108,-100907.06198817342
109,-100906.9188583267
110,-100918.0100711683
111,-100908.45547875697
112,-100944.5944147779
113,-100914.45613006766
114,-100875.34927514954
115,-100883.20791390463
116,-100910.0542121395
117,-100897.44798337322
118,-100909.44928599452
119,-100898.53901088455
120,-100899.17904435033
121,-100916.21419667556
122,-100910.76175968393
123,-100925.62025811286
124,-100922.98450848306
125,-100903.35141441118
126,-100896.69992738214
127,-100914.92602805476
128,-100905.80352574741
129,-100905.37953733384
130,-100878.77088865527
131,-100929.27682061348
132,-100886.8212673943
133,-100886.49449925293
134,-100925.12335449485
135,-100904.05086026588
136,-100912.80878654859
137,-100966.73903257532
138,-100916.02785781844
139,-100910.17303691819
140,-100901.40160782001
