,rewards
0,-32.88930751138423
1,-35.5520627734154
2,-36.5993411614636
3,-33.888515875423764
4,-33.84314641457763
5,-35.737861517864076
6,-36.02520143660399
7,-32.470180111108675
8,-35.16588224352631
9,-32.079678680186134
10,-31.71942355649776
11,-35.37976684468731
12,-36.399499488653646
13,-34.590122180775325
14,-31.479073436505587
15,-34.94767674132163
16,-36.535067758582045
17,-33.76374985808411
18,-36.01439918402548
19,-32.153674110395514
20,-35.66440620028516
21,-31.397516429490224
22,-36.25204874087558
23,-36.01223873350364
24,-34.15209083848481
25,-34.216364241366364
26,-33.43320092899944
27,-36.806204298449074
28,-36.32334360793266
29,-34.4027030984455
30,-36.37411419507316
31,-32.45937785853016
32,-34.3902805079756
33,-37.24153507759752
34,-36.591779584657615
35,-35.45970351381129
36,-36.2142408568252
37,-36.88938164334559
38,-35.38030695731777
39,-33.03783848441299
40,-37.46082080506312
41,-37.425713484165044
42,-36.23692558725338
43,-32.24387291946755
44,-32.24765370787054
45,-35.49697128523121
46,-34.62090860065018
47,-34.5409719315262
48,-34.898526492062274
49,-35.66818698869838
50,-36.02574154923445
51,-32.24009213106456
52,-33.267926464457105
53,-34.159652415301025
54,-37.429494272568036
55,-36.612843977194416
56,-37.26800059642869
57,-31.581154723417058
58,-35.14967886464319
59,-32.35567623371708
60,-34.56581711246599
61,-31.68107555982715
62,-35.212872042263825
63,-34.17423545628253
64,-35.59095088271647
65,-33.015693866615266
66,-32.09102104540534
67,-34.845055341769466
68,-31.532544586788163
69,-36.80836474897092
70,-34.025704483253776
71,-34.18773827201335
72,-36.575036093144035
73,-35.291188373496425
74,-34.20988288981107
75,-33.74700636657053
76,-33.439142167924274
77,-32.680824036507374
78,-37.177801787346425
79,-33.89283677646745
80,-33.67031037322931
81,-35.50939387570111
82,-32.3864626535817
83,-32.28222091613816
84,-33.02217521817056
85,-36.89154209386743
86,-36.926109302135046
87,-35.81833829961852
88,-31.166348224185185
89,-33.56714886104669
90,-35.947425218001854
91,-36.57017507948012
92,-34.51774708846756
93,-31.243044217536635
94,-36.53128697017905
95,-35.24149801161684
96,-34.355713299697754
97,-36.40328027705664
98,-33.92146274581023
99,-35.599592684783374
100,-33.964131643524524
101,-32.78776633709299
102,-34.75053563165375
103,-35.65522428558779
104,-32.58792466428304
105,-36.91260648640423
106,-36.337926648924395
107,-32.117486564236515
108,-32.02674764252379
109,-32.665700882885176
110,-33.384050679740085
111,-32.62033142202881
112,-35.407312588779405
113,-33.26360556342365
114,-34.01706268118687
115,-33.34948347147247
116,-33.0216351055401
117,-34.993586314808454
118,-35.92474048757367
119,-35.561244688112765
120,-33.80317808001564
121,-36.828889028877256
122,-34.432949405679665
123,-33.60009573143316
124,-35.134015598400765
125,-31.943570297627275
126,-37.22371136083325
127,-31.58439539919982
128,-34.19529984881933
129,-33.750247042353294
130,-34.91148919516263
131,-36.46269266626405
132,-34.023544032731934
133,-34.54205215677689
134,-31.986779307961797
135,-36.420563881190446
136,-36.75543371130857
137,-34.998987441092595
138,-35.658464961370555
139,-31.52822368575471
140,-33.366226962975816
141,-35.952826344285995
142,-34.472377627611195
143,-36.511302802903174
144,-34.71596842338613
145,-32.91145212918195
146,-33.22417734149212
147,-35.310092315521615
148,-34.16613376684609
149,-35.562324913363454
150,-33.441842731066345
151,-32.41994963659863
152,-36.1872352253738
153,-32.315167786524626
154,-35.078383997586116
155,-36.337386536293934
156,-33.091309634705794
157,-36.849413308783596
158,-36.339546986805544
159,-36.27473347130376
160,-34.142368811156985
161,-33.14370055973768
162,-31.426142398833008
163,-33.82262213466106
164,-34.3303280061275
165,-34.567437450357374
166,-33.635203052331235
167,-34.65925659732079
168,-37.05465610788792
169,-32.586844439022116
170,-34.31196417673277
171,-34.30008169889334
172,-32.39780501879068
173,-32.974645306792354
174,-31.09937425816156
175,-34.54475271992919
176,-33.26144511291204
177,-31.909003089359658
178,-37.41437111894584
179,-32.156374673537584
180,-34.008960991740196
181,-31.07452907722177
182,-37.331193774049325
183,-31.909543201979886
184,-36.377354870855925
185,-31.831766983377747
186,-32.20120402176349
187,-32.90064987659321
188,-34.07431461988267
189,-35.14913875201273
190,-33.14370055973768
191,-35.86640832361695
192,-35.02329250941216
193,-31.091272568725117
194,-34.22662638131442
195,-36.846172633011065
196,-36.747872134492354
197,-33.81992157151899
198,-34.88556378896192
199,-32.09372160854741
200,-36.09325562788854
201,-32.69054606382497
202,-32.86284199255306
203,-33.091309634705794
204,-36.086234163702784
205,-33.66977026059885
206,-33.400254058623204
207,-34.98710496325316
208,-33.89175655120653
209,-36.47025424308026
210,-31.19983520719188
211,-31.695658600818888
212,-36.25366907876696
213,-32.42373042500162
214,-34.591202406036246
215,-37.20264696829645
216,-36.6776574926962
217,-34.42538782887368
218,-33.808579206310014
