,一回路压力平均值,一环路冷热段平均值,堆芯出口温度平均值,主蒸汽压力平均值,辅助给水流量平均值,重要厂用水系统压力,DeltaTsat平均值,安全壳压力平均值,SG1水位平均值,稳压器泄压箱压力,压缩空气系统压力,汽机旁路系统蒸汽阀平均开度
32,1.860681516,1.519684,1.738199675,1.073480998,-1.513543699,-2.006346969,-1.507508026,-2.189593103,-0.888309927,-1.159923969,-1.416250694,-0.878413187
33,1.860708957,1.519684,1.738227812,1.073496681,-1.513543699,-2.006346969,-1.507485636,-2.189593103,-0.888309927,-1.159423529,-1.415418558,-0.878413187
34,1.860708957,1.519684,1.738227812,1.073508086,-1.513543699,-2.006346969,-1.50747444,-2.189593103,-0.888310027,-1.159393199,-1.414650432,-0.878413187
35,1.860736398,1.519684,1.738227812,1.073519492,-1.513543699,-2.006346969,-1.507463245,-2.189593103,-0.888309575,-1.159863309,-1.413818295,-0.878413187
36,1.860736398,1.519701686,1.738227812,1.073530897,-1.513543699,-2.006346969,-1.50745205,-2.189593103,-0.888308771,-1.160105947,-1.413050169,-0.878413187
37,1.860763839,1.519719372,1.738227812,1.073542303,-1.513543699,-2.006346969,-1.507429659,-2.189593103,-0.888307564,-1.159696496,-1.412282043,-0.878413187
38,1.860763839,1.519719372,1.738227812,1.073553708,-1.513543699,-2.006346969,-1.507412866,-2.189593103,-0.888306157,-1.15933254,-1.411513917,-0.878413187
39,1.86079128,1.519737057,1.738227812,1.07356654,-1.513543699,-2.006346969,-1.507396074,-2.189593103,-0.888304096,-1.159484188,-1.41068178,-0.878413187
40,1.86079128,1.519737057,1.738255949,1.073580797,-1.513543699,-2.006346969,-1.507384878,-2.189593103,-0.888302236,-1.159984628,-1.409913654,-0.878413187
41,1.860818721,1.519737057,1.738255949,1.073593628,-1.513543699,-2.006346969,-1.507368085,-2.189593103,-0.888299974,-1.159999793,-1.409145528,-0.878413187
42,1.860818721,1.519737057,1.738255949,1.073605034,-1.513543699,-2.006346969,-1.507351292,-2.189593103,-0.88829746,-1.159514518,-1.408377402,-0.878413187
43,1.860846162,1.519772429,1.738255949,1.073616439,-1.513543699,-2.006346969,-1.5073345,-2.189593103,-0.888295248,-1.159287045,-1.407545265,-0.878413187
44,1.860846162,1.519772429,1.738255949,1.073623568,-1.513543699,-2.006346969,-1.507312109,-2.189593103,-0.888292936,-1.159635837,-1.406777139,-0.878413187
45,1.860873602,1.519772429,1.738255949,1.073634973,-1.513543699,-2.006346969,-1.507295316,-2.189593103,-0.888290221,-1.160060452,-1.406009013,-0.878413187
46,1.860873602,1.519772429,1.738255949,1.073646379,-1.513543699,-2.006346969,-1.507278523,-2.189593103,-0.888288412,-1.159817815,-1.405240887,-0.878413187
47,1.860901043,1.519772429,1.738255949,1.073656359,-1.513543699,-2.006346969,-1.507256133,-2.189593103,-0.888285245,-1.159378034,-1.404408751,-0.878413187
48,1.860901043,1.519790115,1.738270017,1.073663487,-1.513543699,-2.006346969,-1.507244937,-2.189593103,-0.888281324,-1.15933254,-1.403640624,-0.878413187
49,1.860928484,1.519790115,1.73824188,1.073674893,-1.513543699,-2.006346969,-1.507177766,-2.189593103,-0.888276699,-1.159787485,-1.402872498,-0.878413187
50,1.85887042,1.520320687,1.73824188,1.073692001,-1.513543699,-2.006346969,-1.514924892,-2.189593103,-0.887536367,-1.160045288,-1.402104372,-0.878413187
51,1.855659841,1.520108458,1.738058989,1.073730495,-1.513543699,-2.006346969,-1.517863651,-2.189593103,-0.886401826,-1.159635837,-1.401336246,-0.878413187
52,1.854425003,1.520232258,1.737946441,1.073780394,-1.513543699,-2.006346969,-1.521003924,-2.189593103,-0.88511174,-1.15927188,-1.40050411,-0.878413187
53,1.852833434,1.52026763,1.737847961,1.073838848,-1.513543699,-2.006346969,-1.524687168,-2.189593103,-0.883776176,-1.159423529,-1.399735984,-0.878413187
54,1.850940015,1.520232258,1.737749482,1.073903004,-1.513543699,-2.006346969,-1.527861027,-2.189593103,-0.882435872,-1.159923969,-1.398967858,-0.878413187
