,frame_idx,初始化state,选择action,与环境交互,记录数据,td3网络更新
0,0,0,0,0.013515949,0,0.220262051
1,0,0,0,0.013515949,0,0.220262051
2,0,0,0,0.013515949,0,0.220262051
3,0,0,0,0.013515949,0,0.220262051
4,0,0,0,0.013515949,0,0.220262051
5,0,0,0,0.013515949,0,0.220262051
6,0,0,0,0.013515949,0,0.220262051
7,0,0,0,0.013515949,0,0.220262051
8,0,0,0,0.013515949,0,0.220262051
9,0,0,0,0.013515949,0,0.220262051
10,0,0,0,0.013515949,0,0.220262051
11,0,0,0,0.013515949,0,0.220262051
12,0,0,0,0.013515949,0,0.220262051
13,0,0,0,0.013515949,0,0.220262051
14,0,0,0,0.013515949,0,0.220262051
15,0,0,0,0.013515949,0,0.220262051
16,0,0,0,0.013515949,0,0.220262051
17,0,0,0,0.013515949,0,0.220262051
18,0,0,0,0.013515949,0,0.220262051
19,0,0,0,0.013515949,0,0.220262051
20,0,0,0,0.013515949,0,0.220262051
21,0,0,0,0.013515949,0,0.220262051
22,0,0,0,0.013515949,0,0.220262051
23,0,0,0,0.013515949,0,0.220262051
24,0,0,0,0.013515949,0,0.220262051
25,0,0,0,0.013515949,0,0.220262051
26,0,0,0,0.013515949,0,0.220262051
27,0,0,0,0.013515949,0,0.220262051
28,0,0,0,0.013515949,0,0.220262051
29,0,0,0,0.013515949,0,0.220262051
30,0,0,0,0.013515949,0,0.220262051
31,0,0,0,0.013515949,0,0.220262051
32,0,0,0,0.013515949,0,0.220262051
33,0,0,0,0.013515949,0,0.220262051
34,0,0,0,0.013515949,0,0.220262051
35,0,0,0,0.013515949,0,0.220262051
36,0,0,0,0.013515949,0,0.220262051
37,0,0,0,0.013515949,0,0.220262051
38,0,0,0,0.013515949,0,0.220262051
39,0,0,0,0.013515949,0,0.220262051
40,0,0,0,0.013515949,0,0.220262051
41,0,0,0,0.013515949,0,0.220262051
42,0,0,0,0.013515949,0,0.220262051
43,0,0,0,0.013515949,0,0.220262051
44,0,0,0,0.013515949,0,0.220262051
45,0,0,0,0.013515949,0,0.220262051
46,0,0,0,0.013515949,0,0.220262051
47,0,0,0,0.013515949,0,0.220262051
48,0,0,0,0.013515949,0,0.220262051
49,0,0,0,0.013515949,0,0.220262051
50,0,0,0,0.013515949,0,0.220262051
51,0,0,0,0.013515949,0,0.220262051
52,0,0,0,0.013515949,0,0.220262051
53,0,0,0,0.013515949,0,0.220262051
54,0,0,0,0.013515949,0,0.220262051
55,0,0,0,0.013515949,0,0.220262051
56,0,0,0,0.013515949,0,0.220262051
57,0,0,0,0.013515949,0,0.220262051
58,0,0,0,0.013515949,0,0.220262051
59,0,0,0,0.013515949,0,0.220262051
60,0,0,0,0.013515949,0,0.220262051
61,0,0,0,0.013515949,0,0.220262051
62,0,0,0,0.013515949,0,0.220262051
63,0,0,0,0.013515949,0,0.220262051
64,0,0,0,0.013515949,0,0.220262051
65,0,0,0,0.013515949,0,0.220262051
66,0,0,0,0.013515949,0,0.220262051
67,0,0,0,0.013515949,0,0.220262051
68,0,0,0,0.013515949,0,0.220262051
69,0,0,0,0.013515949,0,0.220262051
70,0,0,0,0.013515949,0,0.220262051
71,0,0,0,0.013515949,0,0.220262051
72,0,0,0,0.013515949,0,0.220262051
73,0,0,0,0.013515949,0,0.220262051
74,0,0,0,0.013515949,0,0.220262051
75,0,0,0,0.013515949,0,0.220262051
76,0,0,0,0.013515949,0,0.220262051
77,0,0,0,0.013515949,0,0.220262051
78,0,0,0,0.013515949,0,0.220262051
79,0,0,0,0.013515949,0,0.220262051
80,0,0,0,0.013515949,0,0.220262051
81,0,0,0,0.013515949,0,0.220262051
82,0,0,0,0.013515949,0,0.220262051
83,0,0,0,0.013515949,0,0.220262051
84,0,0,0,0.013515949,0,0.220262051
85,0,0,0,0.013515949,0,0.220262051
86,0,0,0,0.013515949,0,0.220262051
87,0,0,0,0.013515949,0,0.220262051
88,0,0,0,0.013515949,0,0.220262051
89,0,0,0,0.013515949,0,0.220262051
90,0,0,0,0.013515949,0,0.220262051
91,0,0,0,0.013515949,0,0.220262051
92,0,0,0,0.013515949,0,0.220262051
93,0,0,0,0.013515949,0,0.220262051
94,0,0,0,0.013515949,0,0.220262051
95,0,0,0,0.013515949,0,0.220262051
96,0,0,0,0.013515949,0,0.220262051
97,0,0,0,0.013515949,0,0.220262051
98,0,0,0,0.013515949,0,0.220262051
99,0,0,0,0.013515949,0,0.220262051
100,0,0,0,0.013515949,0,0.220262051
101,0,0,0,0.013515949,0,0.220262051
102,0,0,0,0.013515949,0,0.220262051
103,0,0,0,0.013515949,0,0.220262051
104,0,0,0,0.013515949,0,0.220262051
105,0,0,0,0.013515949,0,0.220262051
106,0,0,0,0.013515949,0,0.220262051
107,0,0,0,0.013515949,0,0.220262051
108,0,0,0,0.013515949,0,0.220262051
109,0,0,0,0.013515949,0,0.220262051
110,0,0,0,0.013515949,0,0.220262051
111,0,0,0,0.013515949,0,0.220262051
112,0,0,0,0.013515949,0,0.220262051
113,0,0,0,0.013515949,0,0.220262051
114,0,0,0,0.013515949,0,0.220262051
115,0,0,0,0.013515949,0,0.220262051
116,0,0,0,0.013515949,0,0.220262051
117,0,0,0,0.013515949,0,0.220262051
118,0,0,0,0.013515949,0,0.220262051
119,0,0,0,0.013515949,0,0.220262051
120,0,0,0,0.013515949,0,0.220262051
121,0,0,0,0.013515949,0,0.220262051
122,0,0,0,0.013515949,0,0.220262051
123,0,0,0,0.013515949,0,0.220262051
124,0,0,0,0.013515949,0,0.220262051
125,0,0,0,0.013515949,0,0.220262051
126,0,0,0,0.013515949,0,0.220262051
127,0,0,0,0.013515949,0,0.220262051
128,0,0,0,0.013515949,0,0.220262051
129,0,0,0,0.013515949,0,0.220262051
130,0,0,0,0.013515949,0,0.220262051
131,0,0,0,0.013515949,0,0.220262051
132,0,0,0,0.013515949,0,0.220262051
133,0,0,0,0.013515949,0,0.220262051
134,0,0,0,0.013515949,0,0.220262051
135,0,0,0,0.013515949,0,0.220262051
136,0,0,0,0.013515949,0,0.220262051
137,0,0,0,0.013515949,0,0.220262051
138,0,0,0,0.013515949,0,0.220262051
139,0,0,0,0.013515949,0,0.220262051
140,0,0,0,0.013515949,0,0.220262051
141,0,0,0,0.013515949,0,0.220262051
142,0,0,0,0.013515949,0,0.220262051
