,frame_idx,初始化state,选择action,与环境交互,记录数据,td3网络更新
0,0,0.0009968280792236328,0.0,0.01096343994140625,0.0,0.0
1,0,0.0009968280792236328,0.0,0.01096343994140625,0.0,0.0
2,0,0.0009968280792236328,0.0,0.01096343994140625,0.0,0.0
3,0,0.0009968280792236328,0.0,0.01096343994140625,0.0,0.0
4,0,0.0009968280792236328,0.0,0.01096343994140625,0.0,0.0
5,0,0.0009968280792236328,0.0,0.01096343994140625,0.0,0.0
6,0,0.0009968280792236328,0.0,0.01096343994140625,0.0,0.0
7,0,0.0009968280792236328,0.0,0.01096343994140625,0.0,0.0
8,0,0.0009968280792236328,0.0,0.01096343994140625,0.0,0.0
9,1,0.0013015270233154297,0.0,0.009966373443603516,0.0,0.0
10,1,0.0013015270233154297,0.0,0.009966373443603516,0.0,0.0
11,1,0.0013015270233154297,0.0,0.009966373443603516,0.0,0.0
12,1,0.0013015270233154297,0.0,0.009966373443603516,0.0,0.0
13,1,0.0013015270233154297,0.0,0.009966373443603516,0.0,0.0
14,1,0.0013015270233154297,0.0,0.009966373443603516,0.0,0.0
15,1,0.0013015270233154297,0.0,0.009966373443603516,0.0,0.0
16,1,0.0013015270233154297,0.0,0.009966373443603516,0.0,0.0
17,1,0.0013015270233154297,0.0,0.009966373443603516,0.0,0.0
18,2,0.0,0.0009970664978027344,0.008969783782958984,0.0,0.0
